id,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
21,39,Private,280570,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,50,United-States,>50K
22,26,Self-emp-not-inc,258306,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,<=50K
23,29,Private,204862,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,<=50K
24,53,Self-emp-not-inc,240138,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
25,31,Private,117028,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
26,50,State-gov,297551,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,United-States,<=50K
27,21,Private,213015,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,2176,0,40,United-States,<=50K
28,46,Private,428405,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
29,23,Private,224424,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
30,20,?,202994,Some-college,10,Never-married,?,Own-child,White,Female,0,0,16,United-States,<=50K
31,26,Private,345405,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2885,0,40,United-States,<=50K
32,26,Private,337940,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,Mexico,<=50K
33,37,Local-gov,128054,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
34,31,?,505438,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,30,Mexico,<=50K
35,39,Private,299828,5th-6th,3,Separated,Sales,Unmarried,Black,Female,0,0,30,Puerto-Rico,<=50K
36,41,Self-emp-not-inc,251305,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
37,22,Private,385540,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Mexico,<=50K
38,27,Private,211032,1st-4th,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K
39,51,Local-gov,123325,Prof-school,15,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
40,18,Private,138917,11th,7,Never-married,Sales,Own-child,Black,Female,0,0,10,United-States,<=50K
41,57,Local-gov,190747,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
42,25,Private,139012,Bachelors,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,2174,0,40,Vietnam,<=50K
43,76,Private,70697,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
44,38,Federal-gov,248919,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2051,40,United-States,<=50K
45,51,Private,257485,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
46,25,Private,187653,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,48,United-States,<=50K
47,47,Federal-gov,34845,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,Germany,>50K
48,41,Local-gov,144995,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
49,47,Self-emp-not-inc,249585,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K
50,47,Self-emp-inc,120131,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Cuba,>50K
51,41,Private,149102,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
52,66,Federal-gov,38621,Assoc-voc,11,Widowed,Other-service,Unmarried,Black,Female,3273,0,40,United-States,<=50K
53,64,Self-emp-not-inc,149698,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
54,47,Private,110669,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,<=50K
55,51,Self-emp-inc,213296,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
56,50,Self-emp-not-inc,167728,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
57,40,Private,206066,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
58,32,Federal-gov,174215,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,<=50K
59,37,Private,315291,Bachelors,13,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,40,United-States,<=50K
60,51,Private,86332,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,4064,0,55,United-States,<=50K
61,58,Self-emp-not-inc,164065,Masters,14,Divorced,Sales,Not-in-family,White,Male,0,0,18,United-States,<=50K
62,45,Private,100651,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
63,52,Local-gov,153312,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
64,46,Private,241844,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
65,41,Private,116825,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
66,67,?,39100,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,5,United-States,<=50K
67,65,?,404601,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,2414,0,30,United-States,<=50K
68,35,Private,172571,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
69,22,Private,264738,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,0,0,42,Germany,<=50K
70,35,Private,498216,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
71,22,Private,279802,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
72,32,Local-gov,29235,Some-college,10,Married-civ-spouse,Protective-serv,Wife,White,Female,0,0,40,France,>50K
73,17,Private,413557,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,32,United-States,<=50K
74,19,?,218471,HS-grad,9,Never-married,?,Own-child,White,Female,0,1602,30,United-States,<=50K
75,29,Private,91189,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
76,64,Private,166715,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
77,50,Federal-gov,176969,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,1590,40,United-States,<=50K
78,19,Private,42750,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,55,United-States,<=50K
79,43,Private,171888,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
80,24,Private,107882,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
81,52,Private,270728,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,48,Cuba,<=50K
82,17,Private,186890,10th,6,Married-civ-spouse,Sales,Own-child,White,Female,0,0,30,United-States,<=50K
83,39,Private,51100,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
84,68,Private,104438,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Ireland,>50K
85,34,Private,84119,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
86,47,Federal-gov,197332,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
87,25,Private,175370,Some-college,10,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
88,32,Local-gov,217296,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,4064,0,22,United-States,<=50K
89,28,Private,389713,HS-grad,9,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
90,40,Local-gov,233891,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
91,54,Private,77336,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
92,24,Private,653574,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,El-Salvador,<=50K
93,32,Private,281437,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K
94,33,Private,37232,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,80,United-States,<=50K
95,47,Self-emp-not-inc,126500,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
96,24,Private,24243,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1590,40,United-States,<=50K
97,68,Private,284763,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,0,70,United-States,<=50K
98,36,Private,101460,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K
99,50,Private,163671,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
100,35,Private,181382,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,<=50K
101,63,Private,268965,12th,8,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
102,62,Self-emp-not-inc,226546,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,16,United-States,<=50K
103,34,?,146589,HS-grad,9,Never-married,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
104,45,Local-gov,192684,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,38,United-States,<=50K
105,42,Private,258589,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,>50K
106,42,Federal-gov,294431,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
107,39,Private,435638,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
108,59,Private,160631,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K
109,31,Local-gov,189269,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
110,47,Self-emp-not-inc,213668,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
111,22,Private,326334,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
112,49,Self-emp-not-inc,182752,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,>50K
113,28,Private,85812,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
114,30,Private,296453,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
115,30,Local-gov,44566,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
116,19,Private,415354,10th,6,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
117,53,Private,55861,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
118,56,Local-gov,160829,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,46,United-States,<=50K
119,20,Private,54012,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
120,44,Private,79531,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
121,45,Private,247043,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,<=50K
122,27,Private,587310,7th-8th,4,Never-married,Other-service,Other-relative,White,Male,0,0,35,Guatemala,<=50K
123,30,Private,177216,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1740,40,Haiti,<=50K
124,25,Private,144259,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,50,United-States,<=50K
125,21,?,123983,Some-college,10,Never-married,?,Other-relative,Asian-Pac-Islander,Male,0,0,10,Vietnam,<=50K
126,19,Private,136866,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,45,United-States,<=50K
127,35,Private,177102,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,<=50K
128,35,Private,192626,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
129,33,Private,123291,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States,>50K
130,20,?,124242,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
131,24,Private,267945,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
132,33,Private,232475,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,<=50K
133,36,Private,150601,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,?,<=50K
134,48,?,174533,11th,7,Separated,?,Unmarried,White,Male,0,0,40,United-States,<=50K
135,61,Federal-gov,28291,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
136,38,Self-emp-not-inc,282461,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,United-States,>50K
137,46,Private,110171,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
138,23,Private,184400,10th,6,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,30,?,<=50K
139,29,Self-emp-not-inc,240172,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,0,0,50,United-States,<=50K
140,25,Private,99126,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,40,United-States,>50K
141,22,Private,243178,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
142,50,Self-emp-not-inc,197054,Prof-school,15,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,>50K
143,43,Private,55395,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
144,43,Private,102180,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
145,25,?,214925,10th,6,Never-married,?,Own-child,Black,Male,0,0,40,United-States,<=50K
146,30,Private,258170,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
147,60,?,106282,9th,5,Widowed,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
148,27,Private,191129,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
149,45,Private,165232,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,Trinadad&Tobago,<=50K
150,36,Private,177907,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,65,United-States,<=50K
151,40,Self-emp-not-inc,49156,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,United-States,<=50K
152,17,Private,136363,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
153,26,Private,365289,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
154,64,Self-emp-not-inc,134960,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,35,United-States,>50K
155,25,Private,499233,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
156,50,Private,102346,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,20,United-States,>50K
157,28,Private,444304,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
158,25,Private,120238,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
159,30,Private,166961,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,37,United-States,<=50K
160,28,Private,309620,Some-college,10,Married-civ-spouse,Sales,Husband,Other,Male,0,0,60,?,<=50K
161,53,Private,47396,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
162,30,Private,194141,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1617,40,United-States,<=50K
163,19,Private,406078,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,<=50K
164,23,Private,275244,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,35,United-States,<=50K
165,28,State-gov,158834,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
166,28,Private,416577,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,2829,0,40,United-States,<=50K
167,40,Private,173607,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
168,55,Private,132887,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,3411,0,40,Jamaica,<=50K
169,21,Private,27049,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,25,United-States,<=50K
170,27,Private,255476,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,40,Mexico,<=50K
171,58,State-gov,300623,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
172,45,Private,480717,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,38,?,<=50K
173,28,Private,265628,Assoc-voc,11,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K
174,21,Private,129172,Some-college,10,Never-married,Other-service,Other-relative,White,Male,0,0,16,United-States,<=50K
175,28,Private,103389,Masters,14,Divorced,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
176,37,Private,245482,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
177,33,Private,637222,12th,8,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
178,37,Local-gov,251396,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Canada,>50K
179,57,Private,79830,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
180,28,Private,37359,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
181,36,State-gov,119272,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,7298,0,40,United-States,>50K
182,58,Self-emp-not-inc,216824,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,30,United-States,<=50K
183,33,Private,182423,HS-grad,9,Divorced,Other-service,Unmarried,Black,Male,0,0,40,United-States,<=50K
184,37,Private,265038,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
185,50,State-gov,116211,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United-States,>50K
186,27,State-gov,21306,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Germany,<=50K
187,18,?,151463,11th,7,Never-married,?,Other-relative,White,Male,0,0,7,United-States,<=50K
188,32,Federal-gov,42900,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
189,72,?,108796,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K
190,47,Private,177087,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,>50K
191,19,Private,225775,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,Mexico,<=50K
192,55,Private,37438,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
193,56,Private,176118,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K
194,56,Local-gov,212864,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
195,46,Local-gov,175428,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
196,29,Private,253801,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
197,20,Private,24896,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,<=50K
198,18,State-gov,76142,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,8,United-States,<=50K
199,40,Private,91959,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,46,United-States,>50K
200,69,Federal-gov,143849,11th,7,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,<=50K
201,30,Private,144593,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,?,<=50K
202,19,Private,321817,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
203,38,Local-gov,161463,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
204,44,Private,197462,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
205,18,Private,40829,11th,7,Never-married,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,0,25,United-States,<=50K
206,32,Federal-gov,504951,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
207,49,Private,23074,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
208,33,Private,287878,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,26,United-States,<=50K
209,36,Federal-gov,112847,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
210,19,Private,218956,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
211,53,Private,20438,Some-college,10,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,0,0,15,United-States,<=50K
212,32,Private,116539,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,55,United-States,>50K
213,38,Private,682947,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
214,35,Private,200426,Assoc-voc,11,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,44,United-States,<=50K
215,40,Private,43711,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
216,47,Federal-gov,126204,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
217,27,Private,410351,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
218,42,Self-emp-not-inc,115323,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,7,?,<=50K
219,46,Private,166546,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,24,United-States,<=50K
220,24,?,172152,Bachelors,13,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,0,0,25,Taiwan,<=50K
221,22,Private,129172,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
222,32,Private,311764,10th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States,<=50K
223,61,Private,160062,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
224,56,Private,32446,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
225,45,Local-gov,257855,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,50,United-States,<=50K
226,28,Federal-gov,42003,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
227,24,?,151153,Some-college,10,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,99999,0,50,South,>50K
228,40,Private,283724,9th,5,Never-married,Craft-repair,Other-relative,Black,Male,0,0,49,United-States,<=50K
229,76,?,79445,10th,6,Married-civ-spouse,?,Husband,White,Male,1173,0,40,United-States,<=50K
230,60,Private,206339,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
231,64,Private,69525,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,20,United-States,<=50K
232,63,?,146196,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
233,32,Private,340917,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
234,62,Private,84756,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,United-States,<=50K
235,74,?,33114,10th,6,Married-civ-spouse,?,Husband,Amer-Indian-Eskimo,Male,1797,0,30,United-States,<=50K
236,34,?,93834,HS-grad,9,Separated,?,Own-child,White,Female,0,0,8,United-States,<=50K
